user_name,location,friends,followers,created_date,text_raw
34NenaSM,United States,690,609,2020-12-13T23:06:39,"RT @crsphilly: 🇺🇸  PLEASE READ THIS  🇺🇸THREAD AND TAKE NOTICE

The time is NEAR and this time is to be used WISELY! 

Get READY and be prep…"
toysbeetle,None,1007,1501,2020-12-13T23:06:40,"Stock in back‼️
Marvel Legends Series Kingpin on Amazon-https://t.co/f9RTM9aEPg

#MARVELLEGENDS"
thefergusclan,None,474,973,2020-12-13T23:06:40,"RT @peterdaou: SOMEHOW YOU HAVE MONEY TO CAGE KIDS

SOMEHOW YOU HAVE MONEY FOR ENDLESS WAR

SOMEHOW YOU HAVE MONEY TO DRONE BABIES

SOMEHOW…"
GRAINSOILSEEDS,Europe,1632,3408,2020-12-13T23:06:40,#markets are UP
MarketBell_Pod,"Wall Street, NYC",2,880,2020-12-13T23:06:42,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
Pros_P33,Rwanda,549,1525,2020-12-13T23:06:43,@GhanaY3d3 @fii_banson @koftownFlower @gyaigyimii @Lewan____ @LegonMedikal @gyimie_y3d3 @CapeShatta @Views09 Noddles stock broker.
WallaTracy,None,13,1,2020-12-13T23:06:44,RT @toddstarnes: If the Wall Street Journal story is true and Attorney General Barr knew in the spring about the Biden investigation and ke…
gabycam,None,3879,1044,2020-12-13T23:06:44,"RT @peterdaou: SOMEHOW YOU HAVE MONEY TO CAGE KIDS

SOMEHOW YOU HAVE MONEY FOR ENDLESS WAR

SOMEHOW YOU HAVE MONEY TO DRONE BABIES

SOMEHOW…"
ReneeAdler05,Georgia,1359,212,2020-12-13T23:06:45,"RT @DanaStarr18: There was already enough to vote against Loeffler and Perdue, but then I heard about them BOTH buying stock in body bags.…"
bestfxbrokers7,London,12,2,2020-12-13T23:06:45,"RT @WSJ: “I think there might be too many M.B.A.s running companies,” says Elon Musk. “There should be more focus on the product or service…"
KompasLabo,None,18,12,2020-12-13T23:06:45,The predicted closing price of Nikkei Stock Average is 26458 yen by the kompas system (07:00 JST)
BoldStatePod,"Lowell, MA",195,1598,2020-12-13T23:06:45,@LFletcher59 Stock for his DROTY campaign 📈📈📈
